cust_id,lookalikes
C0001,"[('C0069', 0.9443598934207866), ('C0127', 0.872571185988633), ('C0048', 0.8420131866682732)]"
C0002,"[('C0133', 0.9669032139916127), ('C0159', 0.8865520374305421), ('C0062', 0.8585160173398273)]"
C0003,"[('C0166', 0.9473439097792076), ('C0031', 0.8998900677022661), ('C0158', 0.8095161252475352)]"
C0004,"[('C0017', 0.9326441434383431), ('C0113', 0.9311075302979707), ('C0122', 0.9232380302364607)]"
C0005,"[('C0007', 0.9906100313199449), ('C0197', 0.9901354711148956), ('C0140', 0.9139010910115858)]"
C0006,"[('C0135', 0.8903808955457101), ('C0187', 0.7699894188029083), ('C0193', 0.7114583937164776)]"
C0007,"[('C0005', 0.9906100313199449), ('C0197', 0.9843875792608798), ('C0140', 0.8944456047260514)]"
C0008,"[('C0162', 0.9399742978772058), ('C0181', 0.8965592155502471), ('C0039', 0.8524621502678401)]"
C0009,"[('C0198', 0.94143086681681), ('C0058', 0.9049526441643447), ('C0083', 0.903362139527527)]"
C0010,"[('C0176', 0.912333380777613), ('C0030', 0.902418080298121), ('C0029', 0.8763369186688396)]"
C0011,"[('C0126', 0.9547727454462817), ('C0171', 0.9039022617721889), ('C0193', 0.8769142841249988)]"
C0012,"[('C0065', 0.9509559080305038), ('C0136', 0.9457714133077708), ('C0104', 0.908500448002115)]"
C0013,"[('C0067', 0.9446771635451233), ('C0105', 0.9442608894757897), ('C0102', 0.8600063686601156)]"
C0014,"[('C0060', 0.999530419028106), ('C0097', 0.9992730847249516), ('C0151', 0.9963398173547984)]"
C0015,"[('C0123', 0.9990885539068581), ('C0097', 0.9679107816667636), ('C0014', 0.967213223795508)]"
C0016,"[('C0183', 0.9797369847856663), ('C0107', 0.976197346285877), ('C0088', 0.8455939438665909)]"
C0017,"[('C0075', 0.960181352190844), ('C0090', 0.9382453131779092), ('C0004', 0.9326441434383431)]"
C0018,"[('C0068', 0.8061048547763222), ('C0023', 0.8051755684777265), ('C0057', 0.7930693119433556)]"
C0019,"[('C0191', 0.9553527911796307), ('C0174', 0.8727865171254541), ('C0070', 0.8437300373517369)]"
C0020,"[('C0130', 0.9986012587365667), ('C0095', 0.9618306356568569), ('C0198', 0.9572077185624138)]"
